City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
629,Marsh Harbour,BS,83.01,clear sky,26.5412,-77.0636,Abaco Beach Resort
631,Jardim,BR,76.5,few clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
632,Kasane,BW,75.29,clear sky,-17.8167,25.15,The Old House
638,Gigmoto,PH,87.28,light rain,13.7796,124.39,Cj's Travellers Inn
649,Anuppur,IN,85.17,scattered clouds,23.1,81.6833,PWD vishramgruh GUEST HOUSE
652,Bubaque,GW,79.2,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
654,Gat,IL,79.48,scattered clouds,31.61,34.7642,OlusHome
656,Estelle,US,81.0,clear sky,29.8458,-90.1067,Ohio
658,Jalu,LY,81.73,clear sky,29.0331,21.5482,صاحبة الفخامة
669,West Bay,KY,82.99,few clouds,19.3667,-81.4167,Calypso Cove
