City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
226,Kavaratti,10.5669,72.642,80.4,79,74,10.47,IN,2022-09-16 22:15:45
227,Basco,20.4487,121.9702,83.01,74,75,15.46,PH,2022-09-16 22:15:46
228,Ferrol,43.4832,-8.2369,63.68,84,40,10.8,ES,2022-09-16 22:15:46
229,Maldonado,-34.6667,-54.9167,63.79,72,0,11.16,UY,2022-09-16 22:15:46
230,Cabo San Lucas,22.8909,-109.9124,94.6,58,20,8.05,MX,2022-09-16 22:13:05
231,Grand Gaube,-20.0064,57.6608,71.38,70,22,7.0,MU,2022-09-16 22:16:47
232,Garowe,8.4054,48.4845,77.11,66,85,27.31,SO,2022-09-16 22:16:47
233,Alice Springs,-23.7,133.8833,57.22,26,4,3.44,AU,2022-09-16 22:16:48
234,Mormugao,15.4,73.8,77.56,87,98,9.51,IN,2022-09-16 22:16:48
235,Nyagan,62.1406,65.3936,49.78,66,100,7.16,RU,2022-09-16 22:16:49
236,Sao Joao Da Barra,-21.6403,-41.0511,64.49,88,100,16.2,BR,2022-09-16 22:16:49
237,Tilichiki,60.4667,166.1,42.28,62,46,16.42,RU,2022-09-16 22:16:50
238,College,64.8569,-147.8028,57.58,68,75,6.91,US,2022-09-16 22:16:50
239,Saint-Augustin,51.226,-58.6502,48.97,69,100,19.44,CA,2022-09-16 22:16:50
240,Mumford,5.2618,-0.759,75.11,92,57,8.55,GH,2022-09-16 22:16:51
241,Namibe,-15.1961,12.1522,67.48,84,100,8.25,AO,2022-09-16 22:16:51
242,Guerrero Negro,27.9769,-114.0611,74.84,62,0,18.99,MX,2022-09-16 22:16:52
243,Llanes,43.4198,-4.7549,65.53,80,100,9.26,ES,2022-09-16 22:16:52
244,San Policarpo,12.1791,125.5072,78.94,80,100,7.78,PH,2022-09-16 22:16:52
245,Bandarbeyla,9.4942,50.8122,77.95,80,100,23.73,SO,2022-09-16 22:16:53
246,Pontes E Lacerda,-15.2261,-59.3353,85.8,33,10,3.67,BR,2022-09-16 22:16:53
247,Coari,-4.085,-63.1414,85.68,54,100,2.66,BR,2022-09-16 22:14:18
248,Kapuskasing,49.4169,-82.4331,57.2,62,75,6.91,CA,2022-09-16 22:16:54
249,Aksarayskiy,46.7924,48.0119,67.41,83,99,13.06,RU,2022-09-16 22:16:54
250,Mazagao,-0.115,-51.2894,87.85,67,39,6.87,BR,2022-09-16 22:16:55
251,Babu,24.4167,111.5167,73.94,87,2,1.5,CN,2022-09-16 22:16:55
252,Chingola,-12.529,27.8838,64.8,42,1,5.48,ZM,2022-09-16 22:16:56
253,Dingle,10.9995,122.6711,74.95,91,98,6.98,PH,2022-09-16 22:16:56
254,Raudeberg,61.9875,5.1352,47.95,15,100,32.66,NO,2022-09-16 22:16:57
255,Georgetown,5.4112,100.3354,76.95,90,20,0.0,MY,2022-09-16 22:12:04
