City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Souillac,MU,-20.5167,57.5167,73.78,73,75,17.27,broken clouds
182,Lavrentiya,RU,65.5833,-171.0,38.34,84,100,8.75,overcast clouds
183,Labuhan,ID,-6.8844,112.2051,90.68,49,41,10.04,scattered clouds
184,Tevriz,RU,57.509,72.4042,64.24,52,100,5.66,overcast clouds
185,Nynashamn,SE,58.9034,17.9479,51.12,83,98,19.93,overcast clouds
186,Yabrud,SY,33.9674,36.6574,73.81,27,0,4.03,clear sky
187,Poli,TZ,-3.3333,36.8,55.67,71,90,5.01,overcast clouds
188,Marsaxlokk,MT,35.8419,14.5431,73.08,73,20,2.3,few clouds
189,Lompoc,US,34.6391,-120.4579,66.52,79,100,11.5,light rain
190,Guiren,CN,33.6697,118.1889,82.99,35,14,16.26,few clouds
191,Port Hardy,CA,50.6996,-127.4199,51.8,93,20,5.75,few clouds
192,Bestobe,KZ,52.4994,73.0975,63.45,26,49,5.48,scattered clouds
193,Dallas,US,32.7668,-96.7836,84.34,68,0,6.91,clear sky
194,Desaguadero,PE,-16.5656,-69.0417,41.07,28,33,4.05,scattered clouds
195,Kaniama,CD,-7.5667,24.1833,71.98,74,98,2.62,overcast clouds
196,Half Moon Bay,US,37.4636,-122.4286,64.31,90,100,13.8,mist
197,Cravo Norte,CO,6.3017,-70.2041,78.58,76,50,1.52,scattered clouds
198,Atambua,ID,-9.1061,124.8925,86.23,47,64,4.32,broken clouds
199,Springbok,ZA,-29.6643,17.8865,42.08,82,77,11.97,broken clouds
200,Marana,US,32.4367,-111.2254,88.14,31,0,0.0,clear sky
201,Kharan,PK,28.5833,65.4167,88.65,33,0,7.11,clear sky
202,Rorvik,NO,64.8621,11.2373,49.98,87,75,10.36,broken clouds
203,Kotido,UG,2.9806,34.1331,74.98,47,21,5.1,few clouds
204,Pangnirtung,CA,66.1451,-65.7125,42.08,68,96,1.1,overcast clouds
205,Orotina,CR,9.912,-84.5234,76.91,92,96,3.02,overcast clouds
206,Male,MV,4.1748,73.5089,87.75,66,75,8.05,broken clouds
207,Benguela,AO,-12.5763,13.4055,70.99,79,25,3.8,scattered clouds
208,Kavaratti,IN,10.5669,72.642,80.69,79,95,12.21,overcast clouds
209,Nanortalik,GL,60.1432,-45.2371,44.92,81,99,10.96,overcast clouds
210,Kologriv,RU,58.8275,44.3178,53.26,97,100,7.99,overcast clouds
211,Yeppoon,AU,-23.1333,150.7333,82.18,90,65,11.99,light rain
212,Claudio,BR,-20.4433,-44.7658,57.45,80,0,3.78,clear sky
213,Banda Aceh,ID,5.5577,95.3222,86.92,61,89,14.97,overcast clouds
214,Wilmington,US,34.2257,-77.9447,77.86,86,0,1.01,clear sky
215,Falam,MM,22.9167,93.6833,73.26,77,50,4.34,scattered clouds
216,San Quintin,MX,30.4833,-115.95,67.26,79,0,11.21,clear sky
217,Coihaique,CL,-45.5752,-72.0662,35.55,100,75,1.14,light rain
218,Itaqui,BR,-29.1253,-56.5531,61.7,91,97,8.7,light rain
219,Nelson Bay,AU,-32.7167,152.15,73.09,42,70,10.0,broken clouds
220,Salalah,OM,17.0151,54.0924,80.69,83,75,5.75,broken clouds
221,Motygino,RU,58.1831,94.7592,53.87,60,99,8.01,overcast clouds
222,Torbay,CA,47.6666,-52.7314,50.58,81,20,17.27,few clouds
223,Huoqiu,CN,32.3394,116.2694,87.91,18,5,14.34,clear sky
224,Krasnoselkup,RU,65.7,82.4667,48.9,91,100,10.51,light rain
225,Korla,CN,41.7597,86.1469,81.14,12,33,4.41,scattered clouds
226,Monte Santo,BR,-10.4378,-39.3328,61.14,97,20,4.36,few clouds
227,Chipinge,ZW,-20.1883,32.6236,76.55,31,0,2.73,clear sky
228,Tautira,PF,-17.7333,-149.15,78.21,70,23,19.91,few clouds
229,Lucapa,AO,-8.4192,20.7447,70.34,79,100,4.29,overcast clouds
